Country,Code,Continent
Afghanistan,AFG,Asia
Algeria,DZA,Africa
Albania,ALB,Europe
Argentina,ARG,South America
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
American Samoa,ASM,Oceania
Bangladesh,BGD,Asia
Angola,AGO,Africa
Belarus,BLR,Europe
Belgium,BEL,Europe
Brazil,BRA,South America
Antigua and Barbuda,ATG,North America
Bulgaria,BGR,Europe
Canada,CAN,North America
Armenia,ARM,Asia
Chile,CHL,South America
Aruba,ABW,North America
China,CHN,Asia
Colombia,COL,South America
Croatia,HRV,Europe
Cyprus,CYP,Europe
Czechia,CZE,Europe
Bahamas,BHS,North America
Denmark,DNK,Europe
Bahrain,BHR,Asia
Ecuador,ECU,South America
Egypt,EGY,Africa
Estonia,EST,Europe
Barbados,BRB,North America
Belize,BLZ,North America
Benin,BEN,Africa
Bermuda,BMU,North America
Bhutan,BTN,Asia
Bolivia,BOL,South America
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
British Virgin Islands,VGB,North America
Brunei,BRN,Asia
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Cape Verde,CPV,Africa
Cayman Islands,CYM,North America
Central African Republic,CAF,Africa
Chad,TCD,Africa
Comoros,COM,Africa
Congo,COG,Africa
Cook Islands,COK,Oceania
Costa Rica,CRI,North America
Cote d'Ivoire,CIV,Africa
Cuba,CUB,North America
Czechoslovakia,,Europe
Democratic Republic of Congo,COD,Africa
Djibouti,DJI,Africa
Dominica,DMA,North America
Dominican Republic,DOM,North America
East Timor,TLS,Asia
El Salvador,SLV,North America
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Falkland Islands,FLK,South America
Faroe Islands,FRO,Europe
Fiji,FJI,Oceania
Finland,FIN,Europe
France,FRA,Europe
French Guiana,GUF,South America
French Polynesia,PYF,Oceania
Gabon,GAB,Africa
Gambia,GMB,Africa
Georgia,GEO,Asia
Germany,DEU,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Greece,GRC,Europe
Greenland,GRL,North America
Grenada,GRD,North America
Guadeloupe,GLP,North America
Guam,GUM,Oceania
Guatemala,GTM,North America
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,South America
Haiti,HTI,North America
Honduras,HND,North America
Hong Kong,HKG,Asia
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,Asia
Indonesia,IDN,Asia
Iran,IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kiribati,KIR,Oceania
Kosovo,XKX,Europe
Kuwait,KWT,Asia
Kyrgyzstan,KGZ,Asia
Laos,LAO,Asia
Latvia,LVA,Europe
Lebanon,LBN,Asia
Lesotho,LSO,Africa
Liberia,LBR,Africa
Libya,LBY,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Macao,MAC,Asia
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Maldives,MDV,Asia
Mali,MLI,Africa
Malta,MLT,Europe
Martinique,MTQ,North America
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mexico,MEX,North America
Moldova,MDA,Europe
Mongolia,MNG,Asia
Montenegro,MNE,Europe
Montserrat,MSR,North America
Morocco,MAR,Africa
Mozambique,MOZ,Africa
Myanmar,MMR,Asia
Namibia,NAM,Africa
Nauru,NRU,Oceania
Nepal,NPL,Asia
Netherlands,NLD,Europe
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania
Nicaragua,NIC,North America
Niger,NER,Africa
Nigeria,NGA,Africa
North America,,North America
North Korea,PRK,Asia
North Macedonia,MKD,Europe
Norway,NOR,Europe
Oman,OMN,Asia
Pakistan,PAK,Asia
Palestine,PSE,Asia
Panama,PAN,North America
Papua New Guinea,PNG,Oceania
Paraguay,PRY,South America
Peru,PER,South America
Philippines,PHL,Asia
Poland,POL,Europe
Portugal,PRT,Europe
Puerto Rico,PRI,North America
Qatar,QAT,Asia
Reunion,REU,Africa
Romania,ROU,Europe
Russia,RUS,Europe
Rwanda,RWA,Africa
Saint Helena,SHN,Africa
Saint Kitts and Nevis,KNA,North America
Saint Lucia,LCA,North America
Saint Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,North America
Samoa,WSM,Oceania
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Asia
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Oceania
Somalia,SOM,Africa
South Africa,ZAF,Africa
South America,,South America
South Korea,KOR,Asia
South Sudan,SSD,Africa
South and Central America (EI),,South America
Spain,ESP,Europe
Sri Lanka,LKA,Asia
Sudan,SDN,Africa
Suriname,SUR,South America
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syria,SYR,Asia
Taiwan,TWN,Asia
Tajikistan,TJK,Asia
Tanzania,TZA,Africa
Thailand,THA,Asia
Togo,TGO,Africa
Tonga,TON,Oceania
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Turkey,TUR,Asia
Turkmenistan,TKM,Asia
Turks and Caicos Islands,TCA,North America
USSR,,Europe
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Asia
United Kingdom,GBR,Europe
United States of America,USA,North America
Uruguay,URY,South America
Uzbekistan,UZB,Asia
Vanuatu,VUT,Oceania
Venezuela,VEN,South America
Vietnam,VNM,Asia
Western Sahara,ESH,Africa
Yemen,YEM,Asia
Yugoslavia,,Europe
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa